SIRUTA,LN_Pop2018_Pop2011,PopAdj,Pop2011Offset,EmpPublic,EmpLocal,EmpForeign,EmpForeign_BusinessServices,EmpLocal_BusinessServices,EmpForeign_Manufacturing,EmpLocal_Manufacturing,EmpForeign_BusServ_Core,EmpForeign_BusServ_CoreofPeri,EmpForeign_BusServ_Periurban,EmpForeign_BusServ_Village,EmpLocal_BusServ_Core,EmpLocal_BusServ_CoreofPeri,EmpLocal_BusServ_Periurban,EmpLocal_BusServ_Village,EmpForeign_Man_Core,EmpForeign_Man_CoreofPeri,EmpForeign_Man_Periurban,EmpForeign_Man_Village,EmpLocal_Man_Core,EmpLocal_Man_CoreofPeri,EmpLocal_Man_Periurban,EmpLocal_Man_Village,D_PIT_USDdef,D_Turnover_USDdef
98827,-0.065177504,4009,8.361474616,0.019847973,0.033361486,0.001689189,0,0.023076923,0,0.107692308,0,0,0,0,0,0,0,0.023076923,0,0,0,0,0,0,0,0.107692308,0.965644402,1.921723054
98916,-0.054501343,4606,8.489616424,0.029075162,0.014537581,0.001855861,0,0,0,0.027210884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027210884,0.703678659,1.119620835
98998,-0.016079185,7650,8.958540111,0.014468442,0.02411407,0.004193751,0,0.024509804,0,0.039215686,0,0,0,0,0,0.050290135,0.024509804,0,0,0.015473888,0,0,0,0.089941973,0.039215686,0,0.859761009,0.716135523
99058,-0.04002274,4506,8.453187861,0.027027027,0.061104583,0,0,0.062222222,0,0.031111111,0,0,0,0,0,0,0,0.062222222,0,0,0,0,0,0,0,0.031111111,-0.130553489,0.416193134
99101,0.001824818,4388,8.384804003,0.019778481,0.027294304,0,0,0,0,0.134453782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134453782,0.749266755,0.500863857
99165,-0.045891993,5430,8.645586406,0.018155198,0.008491947,0,0,0.065934066,0,0.010989011,0,0.001231696,0,0,0,0.078965376,0.065934066,0,0,0.143013549,0,0,0,0.301354865,0.010989011,0,0.515210813,0.091301152
99209,-0.068185217,4294,8.433159196,0.016853933,0.034831461,0.00411985,0,0.026845638,0,0.026845638,0,0,0,0,0,0,0,0.026845638,0,0,0,0,0,0,0,0.026845638,0.075517646,0.582894494
99290,-0.028196229,3287,8.125926803,0.020331728,0.021936865,0,0,0.025316456,0,0.025316456,0,0,0,0,0,0,0,0.025316456,0,0,0,0,0,0,0,0.025316456,0.820029642,-1.662804455
99370,-0.06961452,5146,8.615589513,0.033162393,0.022222222,0.001025641,0,0.018181818,0,0,0,0,0,0,0,0,0,0.018181818,0,0,0,0,0,0,0,0,-0.420844615,0.711159083
99441,-0.165172927,2333,7.920083199,0.024442847,0.039539899,0.002156722,0,0.02173913,0,0.434782609,0,0,0,0,0,0,0,0.02173913,0,0,0,0,0,0,0,0.434782609,-0.340377439,0.33022191
